branch,address,city,zip code,january,february,march,april,may,june,july,august,september,october,november,december,ytd
Albany Park,5150 N. Kimball Ave.,Chicago,60625.0,35,0,7,40,3,0,0,139,11407,15251,12544,11058,50484
Altgeld,13281 S. Corliss Ave.,Chicago,60827.0,791,604,522,611,587,729,743,742,776,751,831,822,8509
Archer Heights,5055 S. Archer Ave.,Chicago,60632.0,6695,6682,7986,8059,6509,6417,7360,6664,7298,8327,6705,6515,85217
Austin,5615 W. Race Ave.,Chicago,60644.0,1472,1500,1601,2014,1794,2167,2280,2203,1918,2203,1965,2277,23394
Austin-Irving,6100 W. Irving Park Rd.,Chicago,60634.0,10144,9554,11474,11294,10182,11213,12229,11093,10969,11502,9968,9034,128656
Avalon,8148 S. Stony Island Ave. ,Chicago,60617.0,4377,3792,4388,4573,4817,5314,5397,4833,5149,5157,4774,4248,56819
Back of the Yards,2111 W. 47th St.,Chicago,60609.0,3935,3675,4319,4544,4047,4813,6459,4775,4430,4735,4294,3751,53777
Beverly,1962 W. 95th St.,Chicago,60643.0,5558,5070,6277,6222,5228,6032,6808,5660,5284,5799,4969,4853,67760
Bezazian,1226 W. Ainslie St.,Chicago,60640.0,9960,8737,10628,11312,11373,12069,12874,11918,11036,12133,10652,10502,133194
Blackstone,4904 S. Lake Park Ave.,Chicago,60615.0,7975,7738,10162,10083,9475,10510,11359,10331,9538,9305,8549,7971,112996
Brainerd,1350 W. 89th St.,Chicago,60620.0,1121,1062,1081,1073,1130,1262,1568,1482,1713,1347,1213,1325,15377
Brighton Park,4314 S. Archer Ave.,Chicago,60632.0,5278,5058,6012,6938,6105,5662,6942,5940,6136,6470,5469,4780,70790
Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,60647.0,9275,9014,10776,10815,9922,11046,12088,11281,10769,11402,9881,9458,125727
Budlong Woods,5630 N. Lincoln Ave.,Chicago,60659.0,10963,9892,11657,11634,10992,12346,14063,12405,10664,10427,10026,9337,134406
Canaryville,642 W. 43rd St.,Chicago,60609.0,2437,2047,2456,2224,2056,2487,2690,2342,2849,2689,2394,2002,28673
Chicago Bee,3647 S. State St.,Chicago,60609.0,1517,1351,1464,1616,1476,1665,1604,1696,1696,2023,1963,1801,19872
Chicago Lawn,6120 S. Kedzie Ave. ,Chicago,60629.0,4405,4142,4261,5465,4214,4665,5626,4961,4290,4627,3682,4269,54607
Chinatown,2353 S. Wentworth Ave.,Chicago,60616.0,7959,8162,9069,9349,8791,9011,9949,9358,8056,8358,7713,8251,104026
Clearing,6423 W. 63rd Pl.,Chicago,60638.0,3698,3492,4475,4111,3635,4544,4565,4374,4225,4888,4171,3876,50054
Coleman,731 E. 63rd St.,Chicago,60637.0,2966,2820,2972,3318,3331,3176,3738,3658,3476,3793,3605,3354,40207
"Daley, Richard J. - Bridgeport",3400 S. Halsted St.,Chicago,60608.0,5851,5785,7164,7838,7378,7779,7810,7504,6902,7145,6716,6392,84264
"Daley, Richard M. - W Humboldt",733 N. Kedzie Ave.,Chicago,60612.0,3727,3605,4197,4395,4697,4426,5527,5089,4740,4986,3986,3158,52533
Douglass,3353 W. 13th St.,Chicago,60623.0,2014,1369,1780,2060,1682,1945,2127,2103,2177,2089,1870,1649,22865
Dunning,7455 W. Cornelia Ave.,Chicago,60634.0,5649,5825,7418,6296,6210,6497,7319,6463,5951,6227,5256,4956,74067
Edgebrook,5331 W. Devon Ave.,Chicago,60646.0,7988,7574,9421,9017,8217,10596,11103,9998,8575,9169,8033,7771,107462
Edgewater,1210 W. Elmdale Ave.,Chicago,60660.0,14797,13192,16391,16809,16562,17292,18344,16861,16949,16706,15380,15132,194415
Gage Park,2807 W. 55th St.,Chicago,60632.0,1989,1753,1971,2583,1669,1971,2332,2130,1896,2210,1855,2112,24471
Galewood-Mont Clare,6871 W. Belden Ave.,Chicago,60707.0,677,692,852,960,242,857,1203,1054,1268,1285,872,886,10848
Garfield Ridge,6348 S. Archer Ave.,Chicago,60638.0,5109,5119,6231,6515,5560,6620,6737,5632,5722,6655,5333,4553,69786
Greater Grand Crossing,1000 E. 73rd St.,Chicago,60619.0,2400,2468,2625,2845,2640,2943,3184,2458,3170,3086,2834,2485,33138
Hall,4801 S. Michigan Ave.,Chicago,60615.0,1837,1674,1919,2182,1975,2464,2620,1845,2047,2140,2178,2093,24974
Harold Washington Library Center,400 S. State St.,Chicago,60605.0,60466,57843,66426,66768,62683,65323,69301,65026,64061,63378,58847,55067,755189
Hegewisch,3048 E. 130th St.,Chicago,60633.0,2525,2487,3195,3206,2737,3046,3905,2615,2815,3333,3047,2634,35545
Humboldt Park,1605 N. Troy St.,Chicago,60647.0,5861,5279,6274,6112,5964,6408,7074,7189,6304,6753,6891,6033,76142
Independence,3548 W. Irving Park Rd.,Chicago,60618.0,7042,6557,8060,8421,7485,8956,9823,8914,8131,7890,7512,7174,95965
Jefferson Park,5363 W. Lawrence Ave.,Chicago,60630.0,6842,7263,8713,8212,8245,9414,9943,9187,8493,8875,7077,7375,99639
Jeffery Manor,2401 E. 100th St.,Chicago,60617.0,1019,859,1127,1292,1088,1184,1534,1351,1257,1297,1379,1034,14421
Kelly,6151 S. Normal Boulevard,Chicago,60621.0,1190,965,1084,1285,1061,1202,1377,1463,1054,1448,1004,1030,14163
King,3436 S. King Dr.,Chicago,60616.0,2482,2589,2883,3131,3173,3109,3507,3238,3424,3498,2935,2756,36725
Legler Regional,115 S. Pulaski Rd.,Chicago,60624.0,1228,967,1216,1627,1432,1702,1832,1973,1867,1702,1425,1425,18396
Lincoln Belmont,1659 W. Melrose St.,Chicago,60657.0,13083,12055,14323,14155,13579,15496,15198,15102,13420,13733,12596,11857,164597
Lincoln Park,1150 W. Fullerton Ave.,Chicago,60614.0,8658,7436,9695,9720,8880,10795,11486,10292,9078,9754,9106,8481,113381
Little Village,2311 S. Kedzie Ave.,Chicago,60623.0,7115,6608,7960,8330,6675,7455,8923,7067,7210,8118,7177,6885,89523
Logan Square,3030 W. Fullerton Ave.,Chicago,60647.0,10413,9312,11461,11267,10898,11551,13277,11965,10989,11666,10559,9334,132692
Lozano,1805 S. Loomis St.,Chicago,60608.0,5727,5254,6454,6770,5635,5724,6048,5235,5381,5865,5063,4931,68087
Manning,6 S. Hoyne Ave.,Chicago,60612.0,2191,2046,2654,2740,2828,2977,3148,3172,3275,3470,2642,2691,33834
Mayfair,4400 W. Lawrence Ave.,Chicago,60630.0,4974,4908,5941,6626,5880,6741,7277,6454,5407,5223,4387,4323,68141
McKinley Park,1915 W. 35th St.,Chicago,60609.0,5976,5710,7366,7651,6014,7334,7927,7335,7256,7071,5982,5557,81179
Merlo,644 W. Belmont Ave.,Chicago,60657.0,7784,7302,8564,8611,8597,8542,9149,8927,8049,8573,7691,7262,99051
Mount Greenwood,11010 S. Kedzie Ave.,Chicago,60655.0,5806,6145,6950,7031,6012,7842,7570,6199,6669,6201,5717,5426,77568
Near North,310 W. Division St.,Chicago,60610.0,9254,8701,10128,10304,9409,10505,11478,11152,9698,10098,9207,9007,118941
North Austin,5724 W. North Ave.,Chicago,60639.0,2003,1818,1881,2054,1840,2022,2167,2142,2143,2346,1801,1829,24046
North Pulaski,4300 W. North Ave.,Chicago,60639.0,3508,3546,3872,5179,3979,4371,4829,4182,3922,4162,2093,3277,46920
Northtown,6435 N. California Ave.,Chicago,60645.0,9663,7811,9490,10294,9615,10717,11470,10787,10178,10454,9187,9120,118786
Oriole Park,7454 W. Balmoral Ave.,Chicago,60656.0,7071,6801,8644,8710,7607,8592,8877,7769,7834,7689,6729,6935,93258
Portage-Cragin,5108 W. Belmont Ave.,Chicago,60641.0,6598,6453,8244,7858,7193,7555,8596,7767,7898,8232,7314,6749,90457
Pullman,11001 S. Indiana Ave.,Chicago,60628.0,1722,1549,1733,1937,1702,1770,2267,1897,1829,2192,1634,1541,21773
Roden,6083 N. Northwest Highway,Chicago,60631.0,5043,4988,6285,5992,5670,6954,7115,5786,5065,5926,5135,4953,68912
Rogers Park,6907 N. Clark St.,Chicago,60626.0,10420,9774,11546,12520,11957,13164,14240,12478,8262,10731,10808,10293,136193
Roosevelt,1101 W. Taylor St.,Chicago,60607.0,5722,5229,6487,6328,5982,6606,6920,6440,6049,5648,5378,4925,71714
Scottsdale,4101 W. 79th St.,Chicago,60652.0,3360,3460,3917,4037,3472,3685,4270,3719,4474,4941,3847,3516,46698
Sherman Park,5440 S. Racine Ave.,Chicago,60609.0,674,656,1003,1261,1119,1356,1394,1389,1206,1155,1017,805,13035
South Chicago,9055 S. Houston Ave.,Chicago,60617.0,3265,2646,3221,3879,3233,3300,4018,3667,3808,3460,3065,2781,40343
South Shore,2505 E. 73rd St.,Chicago,60649.0,3208,2552,3770,4088,4313,4399,4965,4712,4168,4153,3473,3624,47425
Sulzer Regional,4455 N. Lincoln Ave.,Chicago,60625.0,39313,36663,44573,42385,40709,44758,46766,42998,39963,39551,38722,34266,490667
Thurgood Marshall,7506 S. Racine Ave.,Chicago,60620.0,2906,2590,2936,3035,2640,3108,3599,2976,2927,3521,3026,2707,35971
Toman,2708 S. Pulaski Rd.,Chicago,60623.0,7251,6599,7482,7939,6321,7446,8572,7132,6702,7710,7172,6273,86599
Uptown,929 W. Buena Ave.,Chicago,60613.0,6830,6163,7535,7159,7430,8096,8710,7534,7609,7797,6867,6844,88574
Vodak-East Side,3710 E. 106th St.,Chicago,60617.0,4003,3916,4996,4616,4082,4270,4670,4300,4691,4848,4220,4107,52719
Walker,11071 S. Hoyne Ave.,Chicago,60643.0,2326,2343,2417,2597,2264,2761,3448,2897,2532,2639,2072,2280,30576
Water Works,163 E. Pearson St.,Chicago,60611.0,2906,2629,3335,3443,3442,3697,3603,3753,3353,3207,2736,2783,38887
West Belmont,3104 N. Narragansett Ave.,Chicago,60634.0,6985,6560,7791,8262,7125,9003,9534,7837,7766,9030,7513,6584,93990
West Chicago Avenue,4856 W. Chicago Ave.,Chicago,60651.0,1424,1268,1613,1980,1516,1789,2208,2079,1824,1971,1631,1326,20629
West Englewood,1745 W. 63rd St.,Chicago,60636.0,1667,1514,1776,1852,1733,1611,2180,1924,1982,2480,1767,1728,22214
West Lawn,4020 W. 63rd St.,Chicago,60629.0,5171,5065,6107,6924,5037,5968,7059,6189,6385,6952,5996,5300,72153
West Pullman,830 W. 119th St.,Chicago,60643.0,2318,1994,2507,2488,2643,2867,2932,2452,2509,3004,2302,2391,30407
West Town,1625 W. Chicago Ave.,Chicago,60622.0,7300,6797,8480,7926,7631,7861,8514,7976,7769,8042,7597,6879,92772
"Whitney M. Young, Jr.",7901 S. King Dr.,Chicago,60619.0,2358,2195,2689,3257,2378,2770,3186,3056,2609,2475,2686,2334,31993
Woodson Regional,9525 S. Halsted St.,Chicago,60628.0,8074,7208,8580,9424,8548,9093,9747,9609,9412,9631,8851,7748,105925
Wrightwood-Ashburn,8530 S. Kedzie Ave.,Chicago,60652.0,2307,2496,2894,2945,2915,3516,3708,3303,3167,3246,2873,2959,36329
